name,date,socket,category,speed,turbo,cpuCount,cores,logicals,l1_cache,l2_cache,l3_cache
AMD Athlon 64 FX-74,2009-03-01,F (1207),Desktop,3000.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 64 X2 3800+,2010-05-01,939,Desktop,2000.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual Core 3400+,2010-10-01,754,Desktop,2200.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual Core 5800+,2009-01-01,Unknown,Desktop,3000.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 64 X2 Dual Core BE-2300,2011-11-01,AM2,Desktop,1900.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual Core BE-2350,2009-05-01,AM2,Desktop,2100.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual-Core TK-42,2009-07-01,Unknown,Unknown,1600.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual-Core TK-53,2009-02-01,Unknown,Unknown,1700.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 Dual-Core TK-57,2009-02-01,Unknown,Unknown,1900.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-60,2009-03-01,S1,Laptop,1900.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-62,2009-01-01,S1,Laptop,2000.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-64,2009-03-01,S1,Laptop,2100.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-65,2009-11-01,S1,Laptop,2100.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-66,2009-10-01,S1,Laptop,2200.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 64 X2 QL-67,2009-12-01,S1,Laptop,2200.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 7450 Dual-Core,2009-04-01,AM2+,Desktop,2400.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 7550 Dual-Core,2009-05-01,AM2+,Desktop,2500.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 7750 Dual-Core,2009-01-01,AM2+,Desktop,2700.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 7850 Dual-Core,2009-05-01,AM2+,Desktop,2800.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon Dual Core 4050e,2009-02-01,AM2,Desktop,2100.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 4450B,2009-03-01,AM2+,Desktop,2300.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 4450e,2009-02-01,AM2,Desktop,2300.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 4850B,2010-10-01,AM2+,Desktop,2500.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 4850e,2009-02-01,AM2,Desktop,2500.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 5000B,2009-05-01,AM2,Desktop,2600.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 5050e,2009-02-01,AM2,Desktop,2600.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 5200B,2009-04-01,AM2,Desktop,2700.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 5400B,2009-06-01,AM2,Desktop,2800.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Dual Core 5600B,2012-03-01,AM2+,Desktop,2900.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon Gold 3150C,2022-07-01,FP5,"Laptop, Mobile/Embedded",2400.0,3300.0,1,2,2,64.0,2048.0,0.0
AMD Athlon Gold 3150G,2022-01-01,AM4,Desktop,3500.0,3900.0,1,4,1,64.0,2048.0,0.0
AMD Athlon Gold 3150U,2020-07-01,FP5,Laptop,2400.0,3300.0,1,2,2,64.0,2048.0,0.0
AMD Athlon Gold PRO 3150G,2020-07-01,AM4,Desktop,3500.0,3900.0,1,4,1,64.0,2048.0,0.0
AMD Athlon Gold PRO 3150GE,2020-07-01,AM4,Desktop,3300.0,3800.0,1,4,1,64.0,2048.0,0.0
AMD Athlon Gold PRO 4150GE,2022-08-01,FP6,Laptop,3300.0,3800.0,1,4,1,64.0,2048.0,0.0
AMD Athlon II 160u,2010-06-01,Unknown,Desktop,1800.0,0.0,1,1,1,64.0,1024.0,0.0
AMD Athlon II 170u,2010-10-01,"AM2+,AM3",Desktop,2000.0,0.0,1,1,1,64.0,1024.0,0.0
AMD Athlon II Dual-Core M300,2009-10-01,Unknown,Unknown,2000.0,0.0,1,2,1,64.0,1024.0,0.0
