name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A6-7470K,185.94,65.0,2016-05-01,FM2+,Desktop,3700.0,4000.0,1,1,2,2375,26,64.0,2048.0,0.0
AMD A6-7480,36.89,65.0,2019-04-01,FM2+,Desktop,3500.0,3800.0,1,2,1,2328,32,64.0,2048.0,0.0
AMD A6-8500P,0.0,15.0,2016-05-01,BGA (FP4),Laptop,1600.0,3000.0,1,2,1,2595,16,64.0,2048.0,0.0
AMD A6-8550,0.0,65.0,2015-11-01,FM2+,Desktop,3700.0,4000.0,1,2,1,2501,8,64.0,2048.0,0.0
AMD A6-9200,0.0,10.0,2018-03-01,BGA,Laptop,2000.0,2800.0,1,2,1,2928,35,64.0,2048.0,0.0
AMD A6-9210,0.0,15.0,2016-07-01,FP4,Laptop,2400.0,2800.0,1,2,1,2742,39,64.0,2048.0,0.0
AMD A6-9220,0.0,15.0,2017-08-01,Unknown,Laptop,2500.0,2900.0,1,2,1,2718,163,64.0,2048.0,0.0
AMD A6-9220C,0.0,6.0,2019-05-01,FT4,Laptop,1800.0,2700.0,1,2,1,2912,33,64.0,2048.0,0.0
AMD A6-9220e,0.0,0.0,2018-02-01,Unknown,Laptop,1600.0,2400.0,1,2,1,2997,57,64.0,2048.0,0.0
AMD A6-9225,0.0,15.0,2018-08-01,BGA (FT4),Laptop,2600.0,3000.0,1,2,1,2682,210,64.0,2048.0,0.0
AMD A6-9230,0.0,15.0,2017-08-01,Unknown,Desktop,2600.0,3500.0,1,2,1,2725,4,64.0,2048.0,0.0
AMD A6-9400,0.0,10.0,2019-11-01,FT4,Laptop,2400.0,3200.0,1,2,1,1902,5,64.0,2048.0,0.0
AMD A6-9500,61.03,65.0,2016-12-01,AM4,Desktop,3500.0,3800.0,1,2,1,2334,64,64.0,2048.0,0.0
AMD A6-9500E,58.14,35.0,2018-10-01,AM4,Desktop,3000.0,3400.0,1,2,1,2446,3,64.0,2048.0,0.0
